Make,Model,Nickname,Car Gender,Buyer Gender,Buyer Age,Buzzword,Country,City,Dealer Latitude,Dealer Longitude,Color,New Car,Purchase Date,Sale Price,Discount,Resell Price,5-yr Depreciation,Top Speed,0-60 Time
Mercedes-Benz,S-Class,Lishe,Female,Female,67,Multi-lateral,Indonesia,Cikijing,-7.0117033,108.3682641,Teal,FALSE,16/08/2009,84823.54,0.2849,41597.24,0.19,218.6,6.9
Mitsubishi,Endeavor,Howard,Female,Male,54,Intuitive,Philippines,Makato,11.6994751,122.2790551,Orange,FALSE,04/07/2014,51545.88,0.5845,30190.08,0.23,207,3.3
Toyota,4Runner,Paige,Male,Male,25,demand-driven,Thailand,Si Satchanalai,17.4161103,99.7790227,Pink,FALSE,24/08/2019,91016.54,0.4751,44126.59,0.16,179.6,14.1
Volkswagen,Fox,Wally,Male,Female,50,throughput,United States,Grand Rapids,42.9267976,-85.6480724,Goldenrod,FALSE,22/07/2004,85336.73,0.1365,25919.77,0.11,123.7,13.1
Chrysler,300,Radcliffe,Male,Male,72,mobile,Zimbabwe,Centenary,-16.7293695,31.1166193,Orange,FALSE,01/07/2002,87902.94,0.4742,13075.76,0.07,191.2,3.3
Audi,A8,Gilemette,Male,Female,37,Programmable,China,Wangzuizi,36.222959,107.788257,Turquoise,TRUE,07/01/2007,36717.94,0.2824,17041.47,0.04,171.2,11.1
Land Rover,Range Rover,Sargent,Male,Male,23,content-based,Guatemala,Chiquimulilla,14.0804623,-90.3793599,Blue,TRUE,15/11/2019,30804.61,0.5023,30106.34,0.07,147.6,8.6
Mazda,MPV,Berenice,Male,Female,42,project,China,Yihe,23.2196922,113.3138804,Violet,FALSE,04/06/2017,93775.19,0.0356,19511.98,0.16,189.7,6.9
Saab,09-May,Hazel,Male,Male,54,encompassing,Indonesia,Dodol,-8.0972402,114.4120114,Violet,TRUE,05/12/2012,93833.05,0.0442,19128.42,0.15,143.2,6.8
Scion,xA,Juli,Male,Female,45,4th generation,China,Beisijiazi,22.928305,113.207187,Mauv,FALSE,18/09/2002,40139.41,0.4519,26085.26,0.02,186.9,12.7
Ferrari,FF,Gale,Male,Male,40,projection,France,Nice,43.6953508,7.2559678,Puce,FALSE,26/10/2008,83073.28,0.5107,36487.28,0.23,158.5,10.8
Honda,CR-V,Dirk,Female,Male,75,flexibility,Russia,Asbest,56.9713872,61.4210476,Purple,FALSE,30/10/2013,53779.05,0.4987,9504.95,0.23,179.2,4.5
GMC,2500,Damiano,Male,Male,68,bi-directional,Philippines,Polo,14.709034,120.947095,Puce,FALSE,06/12/2013,69566.6,0.6986,6308.88,0.2,174.2,8.2
GMC,Savana 1500,Aloisia,Male,Female,41,Multi-tiered,China,Shizi,39.9317949,116.4559849,Khaki,TRUE,18/10/2007,11257.45,0.5918,44433.5,0.14,142,12.1
Mitsubishi,Galant,Sancho,Male,Male,44,capacity,France,Nancy,48.689836,6.17445,Maroon,TRUE,27/07/2017,65794.22,0.5861,18312.15,0.22,150.7,5.4
BMW,5 Series,Issi,Male,Female,45,scalable,France,Nantes,47.2550409,-1.5401497,Blue,TRUE,05/02/2017,11670.29,0.3418,34000.85,0.02,216.2,9.6
Cadillac,Seville,Joana,Male,Female,50,bandwidth-monitored,Thailand,Sila Lat,15.4728312,104.071515,Blue,FALSE,01/08/2020,45701.27,0.4312,4164.6,0.11,196.4,2
Chrysler,Crossfire,Row,Female,Female,43,demand-driven,Poland,Skarżysko-Kamienna,51.0994419,20.764923,Goldenrod,TRUE,28/09/2007,24625.71,0.4867,44059.01,0.06,164.7,4.6
Buick,Regal,Hayden,Female,Male,62,system engine,China,Qiqin,43.236229,94.324152,Puce,FALSE,02/01/2014,80935.25,0.2948,48694.48,0.21,187.4,5.2
Nissan,Frontier,Evaleen,Male,Female,57,hybrid,China,Fucheng,37.868872,116.144417,Maroon,FALSE,18/12/2005,44303.69,0.3903,37883.87,0.22,122.5,9.9
Kia,Forte,Munroe,Male,Male,47,open architecture,China,Liancheng,25.710538,116.754472,Turquoise,FALSE,03/05/2009,40027.78,0.495,26672.34,0.25,144.6,4
Buick,Century,Trixie,Male,Female,30,Open-architected,Ukraine,Yizhivtsi,48.0414975,25.6513963,Pink,TRUE,28/02/2004,38844.45,0.2128,17439.77,0.16,175.3,6.5
Mercedes-Benz,SL-Class,Roosevelt,Female,Male,58,ability,Croatia,Jesenice,43.4617173,16.5989466,Violet,FALSE,02/08/2008,98742.48,0.5442,19207.12,0.11,175.8,9
Buick,Century,Kirby,Male,Male,52,concept,China,Leidian,30.520783,120.145342,Aquamarine,TRUE,29/07/2018,59084.94,0.4452,22202.36,0.08,121.1,3.9
Acura,RL,Devland,Female,Male,74,asynchronous,Ukraine,Bila Krynytsya,47.975777,25.8865511,Teal,FALSE,17/08/2002,54945.35,0.5899,5340.93,0.18,169.7,13.2
GMC,Canyon,Brade,Male,Male,44,zero tolerance,Indonesia,Wonosari,-7.9655412,110.6008827,Mauv,TRUE,15/06/2016,11916.09,0.3801,32018.05,0.16,133.9,6.2
Pontiac,Grand Am,Denise,Female,Female,35,24-Jul,Colombia,Mosquera,4.6802367,-74.2296713,Orange,TRUE,21/06/2005,29312.99,0.2742,39373.08,0.13,192.7,7.8
GMC,Suburban 1500,Berte,Male,Female,39,local,Brazil,Balsas,-7.5330309,-46.035885,Violet,FALSE,26/07/2015,94100.64,0.6116,35228.69,0.16,168.4,9.7
Mercedes-Benz,S-Class,Allis,Male,Female,40,focus group,Philippines,Prinza,14.2038203,121.1457666,Goldenrod,FALSE,03/12/2006,39537.59,0.4257,29184.51,0.16,139.7,6.7
Toyota,Sequoia,Marylinda,Female,Female,59,interface,Democratic Republic of the Congo,Sake,-1.5631276,29.0518113,Yellow,TRUE,11/10/2012,94634.93,0.1854,23776.06,0.07,157.1,9
Acura,TSX,Levon,Male,Male,55,hub,China,Changqiao,31.135176,121.439288,Teal,TRUE,01/10/2005,14666.09,0.0689,31582.09,0.24,147.4,14.4
Mercedes-Benz,SLK-Class,Annadiana,Male,Female,55,foreground,China,Hekou,22.529403,103.93935,Fuscia,FALSE,17/09/2014,59146.52,0.5135,38421.5,0.21,223.6,11.9
Subaru,SVX,Dalis,Male,Male,23,background,Philippines,Indang,14.1715376,120.8620371,Maroon,TRUE,28/12/2003,37661.01,0.5361,17641.95,0.11,127.7,5.8
Mercury,Tracer,Ira,Male,Male,37,knowledge base,Paraguay,San Patricio,-26.9777363,-56.828301,Aquamarine,TRUE,18/04/2017,80371.55,0.5621,12601.18,0.23,207.6,8.5
Land Rover,Range Rover,Mill,Female,Male,21,project,Ireland,Adare,53.4487975,-6.176659,Mauv,FALSE,21/12/2009,54753.4,0.109,22778.18,0.04,151.3,6.1
Isuzu,Rodeo Sport,Hope,Female,Female,64,benchmark,China,Donggang,39.863008,124.1527051,Red,TRUE,05/06/2019,52363.97,0.5734,21010.55,0.09,247.8,4.6
GMC,Suburban 1500,Andrej,Male,Male,50,Persistent,Cuba,Minas,21.4906113,-77.6049218,Green,FALSE,06/08/2003,49450.56,0.0339,14853.53,0.11,194.3,3.4
GMC,Sierra 1500,Spenser,Female,Male,75,Ergonomic,Argentina,General Roca,-34.5331768,-58.4950475,Puce,FALSE,13/10/2007,84911.05,0.0147,44440.88,0.19,192.3,12.2
Lotus,Esprit,Gannon,Male,Male,29,challenge,China,Wutongkou,25.84999,115.400234,Fuscia,TRUE,12/10/2012,84659.66,0.2474,13331.14,0.21,152.9,8.8
Nissan,Frontier,Crista,Female,Female,52,hardware,China,Qiaolin,29.6970749,106.6160052,Maroon,TRUE,11/02/2017,14977.48,0.1805,28759.2,0.24,236.5,11
Dodge,Dakota,Nollie,Male,Female,56,Public-key,Indonesia,Pacarkeling,-7.2599544,112.7554346,Teal,FALSE,24/07/2004,15653.88,0.2102,9044.02,0.06,237.1,3.8
Chevrolet,S10,Truda,Female,Female,50,service-desk,Indonesia,Setono,-7.8477615,111.5021144,Khaki,TRUE,12/04/2002,88077.32,0.4396,45676.79,0.12,125,6.1
Ford,Edge,Brodie,Female,Male,52,hierarchy,Sweden,Sölvesborg,56.010958,14.731627,Crimson,FALSE,02/06/2014,91724.26,0.532,43975.08,0.16,160.4,6.4
Bentley,Continental GTC,Robinson,Male,Male,43,model,China,Jiefang,35.0702051,118.2536287,Yellow,TRUE,05/07/2006,34997.81,0.4427,13163.12,0.21,193.5,6.8
Toyota,Land Cruiser,Fifine,Female,Female,49,uniform,Philippines,Becerril,9.6428113,123.4072107,Aquamarine,TRUE,19/04/2008,47110.46,0.4351,47959.21,0.22,193.2,11.5
Chevrolet,Beretta,Aurora,Female,Female,43,encoding,Argentina,Castro Barros,-32.9979844,-60.6298078,Maroon,TRUE,09/04/2003,69006.64,0.1568,47535.68,0.22,222.8,4.8
Pontiac,6000,Amalle,Male,Female,54,eco-centric,China,Xianyang,34.329605,108.708991,Pink,TRUE,21/02/2014,36457.38,0.5418,29347.93,0.16,183.8,11.1
Toyota,Matrix,Nicky,Male,Male,75,array,France,Paris 20,43.4945737,5.8978018,Yellow,TRUE,11/11/2019,24761.5,0.4143,38986.66,0.23,238,14.9
Chevrolet,HHR,Marion,Male,Female,59,Multi-layered,China,Yongning,22.75839,108.487368,Puce,FALSE,24/02/2007,57166.42,0.3145,3677.05,0.04,142,9.4
Mitsubishi,Lancer,Flory,Female,Male,31,dedicated,Poland,Sarnaki,52.3147542,22.8893801,Crimson,FALSE,21/02/2013,47993.1,0.0436,18969.09,0.07,176.1,7.6
Buick,Regal,Allegra,Female,Female,45,extranet,Belize,Punta Gorda,16.098935,-88.8094906,Puce,TRUE,20/03/2012,34975.06,0.2984,34921.63,0.02,193.4,4.5
Toyota,Tundra,Jephthah,Female,Male,46,even-keeled,Dominican Republic,Cevicos,18.4927064,-69.9621383,Goldenrod,FALSE,23/11/2017,23644.4,0.0333,15487.29,0.12,192.2,10.5
Pontiac,Bonneville,Cheri,Male,Female,22,complexity,China,Shangbahe,31.2303904,121.4737021,Orange,TRUE,24/12/2017,80702.95,0.0465,23840.9,0.13,137.2,9.7
Kia,Sportage,Dora,Male,Female,42,directional,Slovenia,Nazarje,46.3025462,14.9534182,Teal,FALSE,25/11/2004,36199.69,0.5811,46444.76,0.09,174.8,11.7
Mazda,Millenia,Teena,Male,Female,47,Cross-platform,Slovenia,Hrvatini,45.5746977,13.7677916,Red,FALSE,12/06/2017,32718.67,0.4103,10069.71,0.05,153.3,12.2
Dodge,Ram 1500 Club,Letisha,Male,Female,43,solution,Russia,Verkh-Usugli,52.6886817,115.1891675,Red,TRUE,11/12/2002,65371.58,0.3249,45591.28,0.1,153.3,11.8
Toyota,Land Cruiser,Dita,Female,Female,67,client-server,China,Caihua,31.298877,121.395941,Crimson,FALSE,31/07/2002,74253.22,0.28,37917.32,0.06,197.7,10.9
GMC,2500,Estelle,Male,Female,49,Streamlined,China,Wangxian,30.807667,108.408661,Yellow,TRUE,12/07/2010,34798.35,0.6347,21236.36,0.1,174.7,3.2
Mercedes-Benz,SLK-Class,Kiersten,Male,Female,61,pricing structure,Indonesia,Tutnae,-6.2855885,106.701673,Teal,TRUE,18/05/2014,29864.23,0.6968,21779.24,0.22,177.1,13.7
BMW,7 Series,Goran,Male,Male,45,instruction set,China,Zhongxiao,31.068932,121.397142,Red,TRUE,30/08/2005,36240.44,0.5791,5711.74,0.03,129.4,13.7
Eagle,Summit,Donnie,Male,Male,60,internet solution,Indonesia,Bangko,-2.0764561,102.3234816,Orange,FALSE,05/02/2008,70704.7,0.6633,2347.88,0.12,194.7,5.7
Ford,Probe,Gabriela,Female,Female,49,open architecture,Finland,Kuhmoinen,61.5656107,25.1814985,Mauv,TRUE,09/08/2017,21797.35,0.2308,29744.24,0.24,211.3,6.6
Nissan,Quest,Bree,Male,Female,30,scalable,China,Xingyi,25.09204,104.895467,Turquoise,FALSE,09/09/2016,60492.37,0.3761,29721.5,0.05,140.1,3.5
Mitsubishi,L300,Birk,Female,Male,66,composite,Colombia,Marinilla,6.176967,-75.341462,Khaki,TRUE,13/06/2015,98769.03,0.4428,15445.82,0.08,166.8,4.4
Volvo,XC60,Mara,Male,Female,41,cohesive,Indonesia,Biting,-7.8533911,111.2994071,Fuscia,TRUE,19/02/2006,83905.97,0.119,11652.37,0.1,187.3,6.1
Subaru,Impreza,Arlie,Female,Female,43,Customer-focused,China,Wadi,27.272726,98.875784,Crimson,FALSE,20/09/2007,39856.94,0.256,9317.62,0.16,241.9,3.3
Lexus,SC,Jerry,Male,Female,28,solution-oriented,Greece,Kompóti,39.1020713,21.0837161,Blue,FALSE,17/05/2020,42687.84,0.6174,43509.76,0.1,224.3,2.2
Toyota,Prius,Genvieve,Female,Female,71,alliance,China,Maji,34.34866,106.009915,Khaki,FALSE,21/02/2014,38329.12,0.3405,48252.51,0.1,202.4,12.5
Toyota,T100 Xtra,Stinky,Male,Male,66,Synchronised,Czech Republic,Humpolec,49.1809643,13.5548562,Mauv,TRUE,27/04/2013,45129.71,0.043,12228.17,0.24,239.7,9.5
Chevrolet,Prizm,Langsdon,Female,Male,28,system-worthy,Portugal,Alpiarça,39.2591889,-8.5820055,Fuscia,FALSE,16/03/2018,83995.65,0.1319,31604.34,0.23,195.5,12.3
Lincoln,LS,Billie,Female,Male,43,product,Brazil,Matozinhos,-19.5547969,-44.0871994,Red,FALSE,06/09/2004,93752.25,0.1054,9593.46,0.11,206.8,2.6
Chevrolet,Suburban 1500,Gaspar,Male,Male,22,upward-trending,United States,Anchorage,61.1870241,-149.8822186,Pink,TRUE,07/01/2017,98897,0.6691,44032.86,0.06,244.6,10.1
Ford,Focus,Bunnie,Female,Female,49,Intuitive,Indonesia,Lojejerkrajan,-8.3653,113.4956,Fuscia,FALSE,02/07/2007,30464.97,0.3334,23570.62,0.07,182.9,7.3
Hyundai,Accent,Sansone,Female,Male,46,open architecture,Japan,Hitachi-Naka,36.4203181,140.5177769,Aquamarine,TRUE,19/03/2012,18404.52,0.2583,10845.21,0.13,213.3,13.1
Subaru,Forester,Margarethe,Male,Female,75,Customizable,China,Jiujiang,29.705077,116.00193,Puce,TRUE,31/12/2014,10087.72,0.5297,18227.04,0.11,173.7,5.9
Honda,Element,Horace,Male,Male,40,context-sensitive,Thailand,Sap Yai,16.75245,100.2625222,Maroon,TRUE,08/06/2013,18155.48,0.5319,10989.35,0.1,241.3,6.2
Plymouth,Acclaim,Keene,Male,Male,53,framework,China,Caitang,24.63827,118.285336,Goldenrod,TRUE,04/11/2006,19377.46,0.4996,48694.88,0.1,190.7,7
Mitsubishi,Chariot,Odille,Female,Female,29,attitude-oriented,Philippines,Camiling,15.690893,120.409906,Maroon,TRUE,09/02/2016,79127.17,0.0705,17442.09,0.17,229.5,3.1
Lincoln,Mark LT,Teodora,Female,Female,47,demand-driven,China,Huilongshan,30.608675,114.980217,Crimson,TRUE,27/05/2007,47299.4,0.2682,26318.78,0.22,200.7,8.1
Chevrolet,Camaro,Molli,Male,Female,73,Adaptive,Colombia,Granada,4.524233,-74.356481,Indigo,TRUE,22/07/2013,23222.73,0.309,15888.56,0.06,245.1,11.5
Mitsubishi,Outlander,Valera,Male,Female,49,open architecture,Japan,Omigawa,35.8550956,140.6058841,Yellow,FALSE,22/10/2009,49686.32,0.0139,43815.86,0.06,129.1,2.8
Toyota,Tacoma,Junie,Male,Female,39,4th generation,Philippines,Kipit,7.8123465,122.4141908,Teal,FALSE,13/02/2007,78529.84,0.1353,5862.69,0.13,153.2,4.1
Ford,Fiesta,Dorris,Female,Female,43,web-enabled,China,Yongfeng,27.318852,115.444319,Purple,TRUE,05/02/2011,91678.67,0.054,10572.85,0.04,127.9,8.8
Mitsubishi,Tredia,Peria,Male,Female,39,Robust,Nigeria,Igarra,7.2754704,6.107645,Fuscia,TRUE,27/11/2010,44044.07,0.5944,44000.71,0.03,145.5,11.5
Toyota,Echo,Wash,Female,Male,33,attitude,Indonesia,Sulahan,-8.4164207,115.3459831,Khaki,FALSE,02/06/2017,21715.06,0.2589,17333.64,0.08,210.6,2.7
Lexus,SC,Yancy,Female,Male,40,Ergonomic,New Zealand,Takaka,-40.864985,172.89648,Teal,TRUE,17/12/2009,37289.76,0.5565,46621.17,0.22,184.7,8.6
Volkswagen,Golf,Othello,Female,Male,72,service-desk,Philippines,Balingoan,9.3295342,124.6133794,Khaki,FALSE,30/06/2005,58729.58,0.4207,23780.78,0.23,227.2,13.6
GMC,Jimmy,Alene,Female,Female,23,User-centric,Germany,Frankfurt am Main,50.1616215,8.7032376,Goldenrod,TRUE,01/05/2013,40999.15,0.2884,6449.09,0.02,152.5,10.8
Cadillac,Seville,Waly,Male,Female,24,Customizable,Poland,Złotoryja,51.2036947,16.1523941,Green,FALSE,27/06/2019,32034.48,0.2382,47664.62,0.21,239.7,10.7
Mitsubishi,Diamante,Artemus,Male,Male,22,workforce,France,Vandœuvre-lès-Nancy,48.6563441,6.1856748,Fuscia,TRUE,08/10/2006,24670.63,0.4059,19301.47,0.25,177.8,6.2
BMW,5 Series,Janith,Male,Female,50,Managed,Philippines,Irahuan,9.80278,118.69861,Khaki,FALSE,19/03/2020,20064.83,0.5815,9234.76,0.04,243.3,2.9
Mercedes-Benz,GL-Class,Brendin,Male,Male,60,system-worthy,Brazil,Areado,-21.357789,-46.1496185,Purple,FALSE,22/06/2017,19537.52,0.3508,38014.86,0.11,159.8,12.6
Chevrolet,TrailBlazer,Godfree,Female,Male,59,open system,Poland,Siekierczyn,51.1259587,15.1849486,Red,FALSE,14/04/2012,13398.55,0.2128,49195.18,0.09,239.2,11.4
Chrysler,Town & Country,Chariot,Male,Male,40,systemic,Afghanistan,Khanabad,36.681449,69.1149051,Orange,TRUE,05/01/2014,26969.42,0.6434,40090.48,0.19,178.9,4.6
Ford,Explorer Sport Trac,Nataniel,Male,Male,33,Function-based,China,Enhe Hada,50.246964,120.1896411,Indigo,TRUE,02/08/2006,69182.75,0.4909,24139.85,0.1,131.4,12.7
Chevrolet,Malibu,Grady,Male,Male,72,Expanded,Sweden,Lysekil,58.2816546,11.4679865,Pink,TRUE,08/12/2002,67261.49,0.0106,26558.88,0.11,211,13.1
Audi,Cabriolet,Wakefield,Female,Male,37,Optional,Argentina,Bell Ville,-34.6342051,-58.4349355,Violet,TRUE,01/04/2010,55616.44,0.3398,23385.27,0.18,166.5,6.3
Ford,F450,Arda,Male,Female,29,4th generation,Portugal,Murça,41.410051,-7.4489531,Indigo,TRUE,31/08/2017,66623.4,0.5315,34579.64,0.16,232.2,2.2
Volkswagen,Cabriolet,Townsend,Female,Male,32,Fundamental,Canada,East Angus,45.48338,-71.66577,Mauv,FALSE,07/10/2002,93955.22,0.1537,26975.44,0.07,137.7,13.9
Cadillac,Escalade EXT,Arnold,Male,Male,21,Down-sized,Vietnam,Ô Môn,10.1164943,105.6326457,Green,TRUE,18/06/2013,34058.12,0.4828,49387.42,0.17,194.9,10.8
Chevrolet,Avalanche,Ralf,Male,Male,72,cohesive,Canada,Thorold,43.1135996,-79.2169174,Orange,TRUE,21/01/2016,56729.16,0.6423,40642.37,0.08,158.5,12
Ford,Thunderbird,Selina,Male,Female,26,dedicated,Iraq,Balad,34.0076216,44.148291,Indigo,TRUE,14/11/2016,92543.89,0.6574,36998.5,0.1,181.8,13.2
Audi,90,Kellia,Male,Female,50,Stand-alone,Russia,Michurinskoye,60.562013,29.8532768,Fuscia,TRUE,31/01/2016,40079.09,0.1481,40868.45,0.13,197.8,3.7
Pontiac,Trans Sport,Felicdad,Male,Female,28,Assimilated,Ukraine,Stepove,47.1899563,31.5156018,Blue,TRUE,13/10/2008,65539.75,0.1326,46963.66,0.16,138.9,5.7
Volvo,240,Tades,Female,Male,27,Fundamental,Poland,Trzciana,50.05998,21.8324138,Purple,FALSE,04/03/2005,79717.93,0.273,38519.74,0.18,123.6,2.7
Porsche,911,Jdavie,Male,Male,33,info-mediaries,France,Annecy,45.9018536,6.121072,Red,TRUE,03/06/2009,39158.57,0.5302,32653.55,0.16,181.9,13.7
GMC,Sierra 3500,Miguel,Male,Male,32,asynchronous,Palestinian Territory,Old City,31.7776563,35.2324593,Blue,FALSE,08/11/2011,60431.74,0.6895,4069.04,0.12,233.7,11.2
Jeep,Liberty,Boote,Female,Male,21,methodical,Indonesia,Tanjungsari Barat,-6.4054875,107.7458559,Maroon,TRUE,30/07/2019,88244.4,0.4756,38561.52,0.23,221.2,7.1
Toyota,Highlander,Opal,Female,Female,32,local area network,Macedonia,Pirok,41.9100239,20.9108471,Orange,TRUE,31/03/2009,40919.1,0.2167,26614.75,0.06,212.8,8.7
Lincoln,Navigator,Chancey,Female,Male,39,alliance,China,Huzhen,28.80901,120.26121,Red,FALSE,08/02/2013,18052.34,0.4207,10605.98,0.1,175.1,4.9
Mercedes-Benz,300SD,Grethel,Female,Female,31,Profound,Egypt,Dayr Mawās,27.6376503,30.8510692,Goldenrod,TRUE,08/04/2013,40821.15,0.3056,11928.37,0.1,133.6,11.1
GMC,Acadia,Imelda,Female,Female,44,6th generation,Serbia,Ćićevac,43.7212584,21.4436651,Aquamarine,FALSE,02/02/2009,15216.74,0.2148,38872.36,0.16,182.9,6.5
Mazda,Miata MX-5,Myrilla,Female,Female,54,Fully-configurable,China,Yinhedahan’er,48.0288905,123.0199373,Purple,FALSE,18/11/2017,93326.14,0.2165,29675.56,0.04,187.9,13.5
Porsche,911,Randell,Male,Male,23,hub,China,Youxi Chengguanzhen,26.168922,118.188043,Yellow,FALSE,09/11/2005,85346.86,0.6232,41672.9,0.13,161.1,3.4
Buick,Regal,Zsa zsa,Female,Female,40,content-based,Portugal,Sande São Martinho,41.4956796,-8.3620667,Maroon,FALSE,11/05/2017,98127.53,0.2903,19256.72,0.1,197.3,13.7
Geo,Tracker,Hendrik,Male,Male,62,Diverse,China,Yinghua,39.9727653,116.4284919,Pink,FALSE,12/03/2011,40697.5,0.6946,12339.1,0.23,224.5,4.4
Chevrolet,Caprice Classic,Rebecka,Female,Female,50,framework,Zambia,Isoka,-10.1535089,32.6362231,Turquoise,TRUE,09/03/2011,54043.27,0.6648,26218.12,0.08,131,2.5
Mercedes-Benz,CLS-Class,Pet,Female,Female,72,coherent,Argentina,Mar del Plata,-38.0667198,-57.5823273,Violet,FALSE,11/08/2014,76224.28,0.5935,48572.36,0.04,219.7,7.1
Audi,A4,Darsey,Male,Female,33,impactful,Czech Republic,Město Albrechtice,50.1629359,17.5748125,Purple,FALSE,12/03/2011,73980.78,0.6018,7520.94,0.06,224.8,14.5
Ford,E350,Marcille,Male,Female,25,Implemented,Armenia,Armash,39.76624,44.8087498,Aquamarine,FALSE,26/09/2014,23991.74,0.0451,26699.58,0.02,131.4,2.8
Subaru,Justy,Farah,Male,Female,68,logistical,Japan,Yokohama,36.6669437,136.73393,Pink,TRUE,20/04/2016,41088.03,0.5438,47874.77,0.1,145.6,9.6
Infiniti,QX,Hagan,Male,Male,43,secured line,Poland,Nowy Dwór Gdański,54.20801,19.11753,Mauv,FALSE,29/09/2016,79366.54,0.4605,32534.24,0.23,137.3,2.6
Lexus,ES,Mata,Female,Male,47,firmware,Russia,Leninskoye,54.9536614,73.3865836,Violet,FALSE,16/02/2014,96325.8,0.1942,38439.06,0.02,127.5,4.8
Subaru,Tribeca,Ginnifer,Female,Female,66,benchmark,United States,Las Vegas,36.1678611,-115.0406679,Blue,TRUE,20/08/2010,38259.06,0.3202,2353.47,0.16,131.1,10.2
Dodge,Caliber,Ivar,Male,Male,32,Exclusive,Indonesia,Bakan,0.5987602,124.297718,Orange,FALSE,23/10/2006,28760.27,0.4178,11417.85,0.1,147.2,3.6
Hyundai,XG300,Dale,Female,Male,28,extranet,New Zealand,North Shore,28.0178637,-80.7023819,Mauv,TRUE,22/03/2019,87364.08,0.0418,9280.31,0.03,155.7,10.7
Chevrolet,Suburban 1500,Ryley,Male,Male,47,Fully-configurable,France,Cluses,46.068811,6.568907,Red,TRUE,30/05/2006,72466.62,0.594,30605.93,0.11,158.1,3.8
Honda,Insight,Clyve,Male,Male,44,open system,France,Saint-Quentin-en-Yvelines,48.7878212,2.0441607,Violet,FALSE,05/03/2002,43782.11,0.106,10109.15,0.11,212.9,12
Honda,Odyssey,Lynsey,Female,Female,24,leverage,Poland,Stare Miasto,52.1327312,18.2293232,Pink,FALSE,27/02/2007,96812.32,0.3135,25610.85,0.03,206.9,12.6
GMC,3500 Club Coupe,Alano,Male,Male,33,foreground,China,Jilong,28.852393,85.297534,Orange,FALSE,28/07/2017,23678.42,0.6583,8424.33,0.01,223.3,7.1
Infiniti,Q,Sollie,Female,Male,65,Realigned,Indonesia,Jatirejo,-7.617735,112.4172256,Green,FALSE,02/05/2013,97378.24,0.459,36717.21,0.1,197.6,4.1
GMC,Safari,Eleanora,Male,Female,51,Advanced,Portugal,Currais,41.150307,-8.197896,Purple,TRUE,23/03/2004,53804.06,0.0377,13015.65,0.11,248.4,6.3
Infiniti,G35,Elise,Female,Female,53,client-driven,Cuba,Havana,23.1135925,-82.3665956,Blue,TRUE,04/07/2004,92553.99,0.2328,19264.67,0.23,204.8,8.4
Honda,Accord Crosstour,Jeromy,Male,Male,65,Stand-alone,Philippines,Malabor,11.2748678,122.0534319,Mauv,FALSE,30/04/2012,27394.34,0.5954,46795.79,0.17,226.9,10.8
Ford,Mustang,Gene,Male,Male,72,Mandatory,Malaysia,Kota Kinabalu,5.9840985,116.0761121,Mauv,FALSE,06/01/2008,60277.02,0.6794,28914.38,0.19,246.6,8.9
Isuzu,Hombre Space,Phyllys,Male,Female,22,neutral,Portugal,Astromil,41.1961503,-8.4156809,Fuscia,TRUE,29/03/2008,80387.51,0.1996,36531.74,0.05,200.9,11.9
Mazda,RX-7,Aretha,Female,Female,58,even-keeled,Italy,Roma,41.9391449,12.532671,Mauv,FALSE,28/10/2009,31499.81,0.3015,23270.08,0.04,244.1,9.1
Mazda,Millenia,Aridatha,Male,Female,32,Multi-layered,China,Shixian,28.189633,112.986397,Maroon,TRUE,17/11/2016,81569.34,0.0335,5991.3,0.24,161.3,4.2
Volvo,S40,Leeann,Male,Female,35,multi-tasking,Portugal,Meia Via,39.4721645,-8.5034561,Mauv,TRUE,15/04/2006,13975.95,0.2691,26967.47,0.04,219.6,10.7
Pontiac,Grand Prix,Faustina,Male,Female,67,functionalities,China,Jiaoxiyakou,26.12829,102.45004,Khaki,TRUE,07/12/2007,20816.34,0.5996,44810.51,0.11,162.7,14.3
Mercedes-Benz,CLS-Class,Demott,Female,Male,28,reciprocal,China,Xinglong,40.417358,117.500558,Goldenrod,TRUE,30/07/2004,16544.67,0.4132,44410.16,0.16,143.3,5.4
Ford,E350,Aloysia,Female,Female,25,static,China,Suyang,32.890479,115.814504,Indigo,FALSE,21/12/2011,96139.52,0.4165,22667.23,0.04,188.1,13.4
Cadillac,DeVille,Mariquilla,Female,Female,66,background,Peru,Puerto Maldonado,-12.5909084,-69.1963141,Teal,FALSE,12/09/2020,80287.19,0.4221,17203.83,0.01,201.8,5.6
Mercury,Capri,Huntlee,Female,Male,64,Sharable,Chile,Osorno,-40.5761897,-73.1149469,Blue,TRUE,24/05/2003,83718.39,0.5111,7927.45,0.04,227.1,11.1
Chevrolet,Corsica,Seymour,Female,Male,48,directional,Philippines,Taguing,14.5715303,121.0235132,Turquoise,FALSE,24/08/2020,29325.04,0.3886,36804.43,0.03,172.9,3.8
Volkswagen,Golf,Mercy,Male,Female,39,secured line,United States,Harrisburg,40.3208847,-76.8836261,Orange,FALSE,19/04/2004,27436.16,0.3391,27399.92,0.07,187,11
Nissan,Quest,Rich,Male,Male,47,Pre-emptive,Indonesia,Selaawi,-7.011204,108.0257828,Fuscia,TRUE,14/07/2012,88520.74,0.0301,22531.32,0.05,131.4,3.6
